DPTO_UNIFICADO,UBIGEO_HECHO,Estafa,Extorsión,Homicidio,Hurto,Otros,Robo,Violencia contra la mujer e integrantes,cluster_danger_level
AMAZONAS,872418,2042.0,512.0,181.0,13951.0,34249.0,2448.0,18847.0,0
ANCASH,3479008,5623.0,2999.0,312.0,36607.0,98069.0,12570.0,68628.0,2
APURIMAC,2431778,1876.0,200.0,125.0,9438.0,43298.0,2048.0,32721.0,0
AREQUIPA,4402800,12554.0,2063.0,390.0,83805.0,207524.0,30458.0,134037.0,7
AYACUCHO,5719350,3151.0,589.0,210.0,20713.0,42939.0,6362.0,33787.0,0
CAJAMARCA,7645005,3156.0,1338.0,307.0,36726.0,71844.0,7181.0,45950.0,1
CALLAO,490728,6703.0,3446.0,1309.0,40980.0,96849.0,32744.0,75297.0,3
CUSCO,8879345,6803.0,735.0,466.0,42343.0,130557.0,9349.0,85395.0,1
HUANCAVELICA,8408225,720.0,127.0,79.0,3219.0,14622.0,1017.0,8909.0,0
HUANUCO,7742733,4599.0,1163.0,336.0,19780.0,59558.0,7728.0,37231.0,1
ICA,4741337,7462.0,3071.0,598.0,43618.0,90802.0,31628.0,67407.0,2
JUNIN,14811882,5776.0,1385.0,466.0,49270.0,126423.0,19616.0,77268.0,6
LA LIBERTAD,10841207,10894.0,18491.0,1284.0,70791.0,131912.0,44597.0,75665.0,9
LAMBAYEQUE,5327109,10683.0,3747.0,339.0,100232.0,155556.0,42384.0,80240.0,7
LIMA,25445981,83861.0,45652.0,5239.0,573183.0,845522.0,379647.0,647058.0,10
LORETO,8020032,1942.0,723.0,230.0,17906.0,51280.0,4180.0,29250.0,0
MADRE DE DIOS,1872126,918.0,344.0,147.0,7233.0,21606.0,5184.0,14826.0,0
MOQUEGUA,3423587,1760.0,260.0,102.0,8980.0,19897.0,2014.0,16156.0,0
PASCO,5515463,1053.0,338.0,126.0,6088.0,17207.0,1752.0,9885.0,0
PIURA,13027036,9027.0,9427.0,669.0,65764.0,112254.0,53877.0,89802.0,8
PUNO,23167597,2293.0,345.0,353.0,20025.0,52469.0,10625.0,41353.0,5
SAN MARTIN,16986379,4134.0,1035.0,275.0,30109.0,48134.0,6314.0,39064.0,4
TACNA,6446529,1797.0,504.0,107.0,17560.0,38010.0,4250.0,27365.0,0
TUMBES,3122437,1062.0,1778.0,285.0,10980.0,30659.0,5848.0,15480.0,0
UCAYALI,4253454,2349.0,964.0,238.0,24233.0,34807.0,11053.0,19632.0,0
