UBIGEO_HECHO,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,Estafa,Extorsión,Homicidio,Hurto,Otros,Robo,Violencia contra la mujer e integrantes,cluster_danger_level
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,752.0,181.0,8.0,1548.0,5839.0,209.0,3765.0,6
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,2.0,0.0,0.0,0.0,22.0,1.0,6.0,0
10103,AMAZONAS,CHACHAPOYAS,BALSAS,1.0,1.0,1.0,20.0,131.0,3.0,52.0,1
10104,AMAZONAS,CHACHAPOYAS,CHETO,0.0,0.0,0.0,3.0,19.0,0.0,10.0,0
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,0.0,0.0,0.0,3.0,16.0,1.0,14.0,0
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1.0,0.0,0.0,20.0,84.0,2.0,24.0,1
10107,AMAZONAS,CHACHAPOYAS,GRANADA,0.0,0.0,0.0,12.0,33.0,0.0,11.0,0
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,1.0,1.0,0.0,2.0,67.0,2.0,8.0,0
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,16.0,2.0,0.0,28.0,275.0,8.0,178.0,2
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,8.0,1.0,0.0,49.0,414.0,7.0,195.0,2
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,1.0,0.0,0.0,2.0,10.0,0.0,5.0,0
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,2.0,1.0,0.0,22.0,73.0,3.0,48.0,1
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,2.0,0.0,0.0,3.0,68.0,0.0,20.0,0
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,4.0,1.0,1.0,34.0,189.0,10.0,103.0,1
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,1.0,0.0,0.0,1.0,29.0,0.0,2.0,0
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,0.0,0.0,0.0,17.0,60.0,3.0,22.0,0
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,1.0,1.0,0.0,15.0,41.0,4.0,10.0,0
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,2.0,0.0,0.0,5.0,33.0,1.0,14.0,0
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,0.0,0.0,1.0,4.0,60.0,0.0,25.0,0
10121,AMAZONAS,CHACHAPOYAS,SONCHE,0.0,0.0,0.0,2.0,17.0,0.0,6.0,0
10201,AMAZONAS,BAGUA,BAGUA,250.0,58.0,19.0,2558.0,4884.0,374.0,2825.0,5
10202,AMAZONAS,BAGUA,ARAMANGO,8.0,3.0,6.0,87.0,392.0,28.0,188.0,2
10203,AMAZONAS,BAGUA,COPALLIN,5.0,1.0,4.0,74.0,202.0,52.0,73.0,2
10204,AMAZONAS,BAGUA,EL PARCO,0.0,1.0,0.0,24.0,49.0,6.0,26.0,1
10205,AMAZONAS,BAGUA,IMAZA,27.0,3.0,14.0,203.0,687.0,27.0,324.0,3
10206,AMAZONAS,BAGUA,LA PECA,8.0,13.0,2.0,186.0,461.0,30.0,315.0,3
10301,AMAZONAS,BONGARA,JUMBILLA,14.0,2.0,0.0,33.0,234.0,1.0,121.0,2
10302,AMAZONAS,BONGARA,CHISQUILLA,2.0,0.0,0.0,11.0,64.0,0.0,13.0,0
10303,AMAZONAS,BONGARA,CHURUJA,2.0,2.0,0.0,4.0,36.0,0.0,8.0,1
10304,AMAZONAS,BONGARA,COROSHA,1.0,2.0,0.0,3.0,33.0,0.0,34.0,0
10305,AMAZONAS,BONGARA,CUISPES,0.0,0.0,0.0,6.0,41.0,0.0,18.0,0
10306,AMAZONAS,BONGARA,FLORIDA,20.0,2.0,0.0,105.0,431.0,17.0,254.0,2
10307,AMAZONAS,BONGARA,JAZAN,58.0,21.0,2.0,289.0,1078.0,56.0,654.0,3
10308,AMAZONAS,BONGARA,RECTA,0.0,0.0,0.0,5.0,34.0,0.0,6.0,0
10309,AMAZONAS,BONGARA,SAN CARLOS,0.0,0.0,0.0,4.0,15.0,1.0,14.0,0
10310,AMAZONAS,BONGARA,SHIPASBAMBA,1.0,0.0,2.0,6.0,36.0,1.0,25.0,1
10311,AMAZONAS,BONGARA,VALERA,2.0,0.0,2.0,14.0,102.0,1.0,28.0,1
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,10.0,1.0,5.0,42.0,218.0,10.0,176.0,2
10401,AMAZONAS,CONDORCANQUI,NIEVA,27.0,9.0,20.0,318.0,1184.0,28.0,793.0,3
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,1.0,0.0,3.0,0.0,27.0,1.0,7.0,1
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,1.0,0.0,1.0,7.0,23.0,2.0,1.0,0
10501,AMAZONAS,LUYA,LAMUD,12.0,3.0,0.0,55.0,363.0,11.0,250.0,2
10502,AMAZONAS,LUYA,CAMPORREDONDO,4.0,4.0,2.0,128.0,342.0,16.0,171.0,2
10503,AMAZONAS,LUYA,COCABAMBA,2.0,0.0,0.0,0.0,11.0,0.0,10.0,0
10504,AMAZONAS,LUYA,COLCAMAR,4.0,0.0,0.0,22.0,167.0,5.0,68.0,1
10505,AMAZONAS,LUYA,CONILA,1.0,2.0,0.0,6.0,48.0,1.0,46.0,1
10506,AMAZONAS,LUYA,INGUILPATA,0.0,0.0,0.0,3.0,34.0,1.0,19.0,0
10507,AMAZONAS,LUYA,LONGUITA,3.0,0.0,0.0,2.0,27.0,1.0,10.0,0
10508,AMAZONAS,LUYA,LONYA CHICO,2.0,2.0,0.0,8.0,28.0,2.0,13.0,0
10509,AMAZONAS,LUYA,LUYA,22.0,2.0,0.0,89.0,440.0,18.0,241.0,2
10510,AMAZONAS,LUYA,LUYA VIEJO,1.0,0.0,0.0,1.0,14.0,0.0,17.0,0
10511,AMAZONAS,LUYA,MARIA,1.0,0.0,0.0,3.0,21.0,2.0,12.0,0
10512,AMAZONAS,LUYA,OCALLI,3.0,2.0,1.0,45.0,176.0,9.0,146.0,1
10513,AMAZONAS,LUYA,OCUMAL,6.0,1.0,0.0,12.0,45.0,3.0,43.0,1
10514,AMAZONAS,LUYA,PISUQUIA,6.0,0.0,3.0,12.0,83.0,1.0,53.0,1
10515,AMAZONAS,LUYA,PROVIDENCIA,1.0,0.0,0.0,3.0,25.0,1.0,20.0,0
10516,AMAZONAS,LUYA,SAN CRISTOBAL,1.0,0.0,1.0,9.0,18.0,0.0,36.0,0
10517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,0.0,0.0,0.0,2.0,25.0,0.0,14.0,0
10518,AMAZONAS,LUYA,SAN JERONIMO,0.0,0.0,0.0,1.0,22.0,0.0,17.0,0
10519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0
10520,AMAZONAS,LUYA,SANTA CATALINA,0.0,0.0,0.0,5.0,24.0,0.0,29.0,0
10521,AMAZONAS,LUYA,SANTO TOMAS,4.0,1.0,0.0,13.0,195.0,2.0,86.0,1
10522,AMAZONAS,LUYA,TINGO,2.0,3.0,0.0,30.0,181.0,10.0,71.0,1
10523,AMAZONAS,LUYA,TRITA,1.0,1.0,0.0,4.0,43.0,3.0,52.0,0
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,60.0,13.0,1.0,267.0,1041.0,25.0,585.0,3
10602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,0.0,1.0,0.0,8.0,62.0,4.0,29.0,0
10603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,1.0,0.0,0.0,10.0,35.0,0.0,28.0,0
10604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,7.0,3.0,1.0,54.0,257.0,6.0,79.0,2
10605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,5.0,1.0,0.0,20.0,182.0,10.0,41.0,1
10606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,11.0,0.0,0.0,52.0,188.0,3.0,115.0,2
10607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,1.0,0.0,0.0,35.0,108.0,6.0,70.0,1
10608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,0.0,0.0,0.0,0.0,16.0,0.0,13.0,0
10609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,7.0,0.0,0.0,89.0,313.0,12.0,199.0,2
10610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,1.0,0.0,0.0,15.0,72.0,1.0,32.0,1
10611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,0.0,0.0,0.0,4.0,17.0,0.0,4.0,0
10612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,0.0,0.0,0.0,2.0,13.0,0.0,9.0,0
10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,566.0,138.0,43.0,6209.0,8036.0,1039.0,4019.0,6
10702,AMAZONAS,UTCUBAMBA,CAJARURO,32.0,10.0,23.0,469.0,1666.0,196.0,922.0,4
10703,AMAZONAS,UTCUBAMBA,CUMBA,9.0,5.0,4.0,56.0,491.0,32.0,170.0,2
10704,AMAZONAS,UTCUBAMBA,EL MILAGRO,10.0,1.0,1.0,158.0,759.0,72.0,235.0,3
10705,AMAZONAS,UTCUBAMBA,JAMALCA,6.0,0.0,5.0,101.0,333.0,43.0,118.0,2
10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,19.0,12.0,5.0,172.0,564.0,22.0,317.0,3
10707,AMAZONAS,UTCUBAMBA,YAMON,0.0,0.0,0.0,7.0,42.0,2.0,13.0,0
20101,ANCASH,HUARAZ,HUARAZ,467.0,79.0,18.0,5178.0,15888.0,914.0,10169.0,6
20102,ANCASH,HUARAZ,COCHABAMBA,0.0,0.0,0.0,6.0,13.0,0.0,2.0,0
20103,ANCASH,HUARAZ,COLCABAMBA,0.0,0.0,0.0,3.0,5.0,0.0,2.0,0
20104,ANCASH,HUARAZ,HUANCHAY,0.0,1.0,0.0,1.0,10.0,1.0,5.0,0
20105,ANCASH,HUARAZ,INDEPENDENCIA,82.0,18.0,2.0,965.0,2694.0,222.0,2770.0,4
20106,ANCASH,HUARAZ,JANGAS,5.0,1.0,0.0,59.0,266.0,9.0,123.0,2
20107,ANCASH,HUARAZ,LA LIBERTAD,0.0,0.0,0.0,2.0,20.0,0.0,8.0,0
20108,ANCASH,HUARAZ,OLLEROS,1.0,0.0,0.0,1.0,5.0,2.0,4.0,0
20109,ANCASH,HUARAZ,PAMPAS,0.0,0.0,0.0,3.0,26.0,2.0,5.0,0
20110,ANCASH,HUARAZ,PARIACOTO,10.0,1.0,2.0,29.0,176.0,7.0,102.0,1
20111,ANCASH,HUARAZ,PIRA,0.0,1.0,1.0,33.0,161.0,8.0,47.0,1
20112,ANCASH,HUARAZ,TARICA,7.0,3.0,2.0,126.0,596.0,16.0,396.0,2
20201,ANCASH,AIJA,AIJA,7.0,3.0,0.0,41.0,254.0,10.0,93.0,2
20202,ANCASH,AIJA,CORIS,0.0,0.0,0.0,7.0,42.0,1.0,18.0,0
20203,ANCASH,AIJA,HUACLLAN,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
20204,ANCASH,AIJA,LA MERCED,1.0,1.0,0.0,7.0,42.0,3.0,17.0,0
20205,ANCASH,AIJA,SUCCHA,0.0,0.0,0.0,2.0,18.0,1.0,8.0,0
20301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,9.0,0.0,1.0,36.0,363.0,13.0,282.0,2
20302,ANCASH,ANTONIO RAYMONDI,ACZO,2.0,0.0,0.0,0.0,21.0,3.0,15.0,0
20303,ANCASH,ANTONIO RAYMONDI,CHACCHO,0.0,0.0,0.0,2.0,13.0,0.0,10.0,0
20304,ANCASH,ANTONIO RAYMONDI,CHINGAS,1.0,0.0,0.0,3.0,48.0,1.0,33.0,0
20305,ANCASH,ANTONIO RAYMONDI,MIRGAS,1.0,0.0,0.0,1.0,33.0,0.0,41.0,0
20306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0
20401,ANCASH,ASUNCION,CHACAS,8.0,6.0,2.0,82.0,386.0,28.0,191.0,2
20402,ANCASH,ASUNCION,ACOCHACA,1.0,1.0,0.0,6.0,30.0,6.0,19.0,0
20501,ANCASH,BOLOGNESI,CHIQUIAN,14.0,4.0,0.0,161.0,662.0,19.0,249.0,2
20502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0
20503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,0.0,0.0,0.0,6.0,26.0,1.0,17.0,0
20504,ANCASH,BOLOGNESI,AQUIA,2.0,2.0,0.0,28.0,127.0,2.0,54.0,1
20505,ANCASH,BOLOGNESI,CAJACAY,1.0,0.0,0.0,27.0,130.0,7.0,51.0,1
20506,ANCASH,BOLOGNESI,CANIS,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
20507,ANCASH,BOLOGNESI,COLQUIOC,2.0,1.0,2.0,48.0,189.0,9.0,68.0,1
20508,ANCASH,BOLOGNESI,HUALLANCA,12.0,2.0,3.0,127.0,711.0,26.0,334.0,2
20509,ANCASH,BOLOGNESI,HUASTA,1.0,0.0,0.0,13.0,77.0,0.0,28.0,1
20510,ANCASH,BOLOGNESI,HUAYLLACAYAN,0.0,0.0,1.0,2.0,13.0,0.0,2.0,0
20511,ANCASH,BOLOGNESI,LA PRIMAVERA,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0
20512,ANCASH,BOLOGNESI,MANGAS,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0
20513,ANCASH,BOLOGNESI,PACLLON,1.0,0.0,0.0,5.0,26.0,0.0,8.0,0
20514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0
20515,ANCASH,BOLOGNESI,TICLLOS,0.0,0.0,0.0,2.0,17.0,0.0,6.0,0
20601,ANCASH,CARHUAZ,CARHUAZ,101.0,15.0,2.0,417.0,1932.0,72.0,1717.0,4
20602,ANCASH,CARHUAZ,ACOPAMPA,3.0,1.0,1.0,25.0,89.0,2.0,45.0,1
20603,ANCASH,CARHUAZ,AMASHCA,1.0,0.0,0.0,9.0,45.0,0.0,18.0,0
20604,ANCASH,CARHUAZ,ANTA,10.0,3.0,0.0,73.0,442.0,14.0,265.0,2
20605,ANCASH,CARHUAZ,ATAQUERO,0.0,0.0,0.0,2.0,18.0,1.0,10.0,0
20606,ANCASH,CARHUAZ,MARCARA,10.0,3.0,1.0,101.0,649.0,15.0,460.0,2
20607,ANCASH,CARHUAZ,PARIAHUANCA,2.0,0.0,0.0,8.0,26.0,1.0,20.0,0
20608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,1.0,0.0,0.0,3.0,30.0,1.0,20.0,0
20609,ANCASH,CARHUAZ,SHILLA,1.0,3.0,1.0,15.0,129.0,7.0,111.0,1
20610,ANCASH,CARHUAZ,TINCO,0.0,0.0,2.0,25.0,139.0,6.0,68.0,1
20611,ANCASH,CARHUAZ,YUNGAR,2.0,0.0,0.0,32.0,137.0,13.0,105.0,1
20701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,16.0,12.0,1.0,108.0,439.0,48.0,352.0,3
20702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0
20703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,5.0,1.0,0.0,4.0,50.0,1.0,23.0,1
20801,ANCASH,CASMA,CASMA,337.0,160.0,15.0,2149.0,5016.0,483.0,3203.0,5
20802,ANCASH,CASMA,BUENA VISTA ALTA,2.0,4.0,0.0,29.0,107.0,5.0,38.0,1
20803,ANCASH,CASMA,COMANDANTE NOEL,3.0,2.0,0.0,78.0,157.0,16.0,24.0,2
20804,ANCASH,CASMA,YAUTAN,25.0,8.0,3.0,220.0,772.0,30.0,471.0,3
20901,ANCASH,CORONGO,CORONGO,2.0,0.0,2.0,28.0,214.0,2.0,75.0,1
20902,ANCASH,CORONGO,ACO,1.0,0.0,0.0,3.0,19.0,0.0,4.0,0
20903,ANCASH,CORONGO,BAMBAS,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0
20904,ANCASH,CORONGO,CUSCA,2.0,1.0,0.0,6.0,36.0,0.0,19.0,0
20905,ANCASH,CORONGO,LA PAMPA,2.0,0.0,0.0,21.0,144.0,1.0,23.0,1
20906,ANCASH,CORONGO,YANAC,0.0,0.0,1.0,3.0,16.0,0.0,6.0,0
20907,ANCASH,CORONGO,YUPAN,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0
